Education,JoiningYear,City,PaymentTier,Age,Gender,EverBenched,ExperienceInCurrentDomain,LeaveOrNot
0,2013,2,2,28,1,0,0,0
0,2014,2,0,28,0,0,3,1
1,2013,1,2,28,0,0,2,0
1,2017,0,1,27,0,0,5,1
1,2017,1,1,28,0,0,3,0
1,2017,2,2,27,0,0,5,1
0,2015,2,1,28,0,0,4,1
0,2017,0,2,28,0,0,3,1
0,2016,0,2,25,1,1,3,1
1,2017,0,1,24,0,0,2,0
1,2017,1,0,24,0,0,2,0
0,2014,2,2,28,1,0,0,0
1,2013,1,2,28,1,0,1,0
0,2017,2,2,28,1,0,1,0
2,2018,0,2,27,1,0,5,1
1,2017,2,2,25,1,0,3,0
0,2017,1,2,24,0,0,2,0
2,2014,2,2,24,1,0,2,0
2,2017,0,2,24,0,0,2,0
1,2017,1,1,25,0,1,3,1
1,2017,1,0,26,1,0,4,0
0,2018,2,0,26,1,1,4,0
0,2017,1,1,24,0,0,2,1
1,2015,2,1,28,0,0,0,0
1,2017,2,2,27,1,0,5,1
0,2013,0,0,27,0,0,5,0
0,2014,1,2,28,1,0,1,0
0,2017,1,1,28,0,0,2,0
2,2014,1,2,25,1,0,3,0
1,2017,1,1,24,1,1,2,1
0,2014,0,1,26,0,0,4,1
0,2016,2,2,27,0,0,5,0
0,2014,2,1,28,0,0,1,1
0,2017,0,1,28,0,0,2,1
0,2015,1,2,24,1,0,2,0
0,2013,1,2,28,0,1,2,0
0,2017,0,2,26,1,1,4,0
1,2017,0,1,27,1,0,5,0
0,2015,1,1,24,0,0,2,1
1,2015,1,1,27,0,0,5,1
2,2017,1,2,24,1,0,2,0
0,2015,1,1,28,0,0,1,1
1,2017,1,0,27,1,0,5,0
0,2012,0,2,28,0,0,1,1
1,2012,1,2,27,0,0,5,0
0,2016,1,2,24,1,1,2,0
1,2017,0,2,28,0,0,0,1
0,2017,2,2,27,1,1,5,0
0,2015,1,1,29,0,0,1,1
0,2012,0,2,29,1,0,1,0
0,2015,2,2,28,0,0,2,1
1,2017,1,2,26,0,0,4,0
0,2015,2,2,28,0,1,2,1
0,2017,1,2,28,0,0,1,0
0,2014,0,2,29,1,1,2,0
0,2017,2,2,26,0,0,4,1
0,2014,2,2,30,1,0,2,0
1,2017,1,2,29,1,0,2,1
0,2016,0,2,30,0,0,2,1
0,2012,0,2,26,0,0,4,1
0,2014,0,2,29,1,0,1,0
1,2015,2,2,30,0,0,2,0
1,2013,1,1,29,0,0,2,1
0,2016,0,2,29,1,0,2,0
1,2017,2,1,30,0,0,2,0
0,2015,2,1,30,0,1,1,1
1,2017,1,1,29,0,0,2,1
0,2015,0,2,30,1,0,2,0
0,2013,1,2,29,0,0,1,1
1,2015,0,1,27,0,1,5,1
1,2017,1,1,29,0,0,2,0
0,2012,0,2,29,1,0,1,1
0,2012,0,1,27,0,0,5,1
2,2016,0,2,29,0,0,1,0
1,2017,1,1,30,1,0,2,0
0,2012,0,2,30,1,0,1,0
1,2013,1,2,26,0,0,4,0
2,2015,1,0,29,1,0,2,0
0,2016,2,2,30,1,0,1,0
0,2014,2,1,29,0,0,2,1
0,2016,0,2,30,1,0,2,0
2,2015,1,1,29,0,1,1,0
0,2018,0,2,30,1,0,2,1
1,2017,2,1,29,0,0,2,0
1,2016,0,2,29,0,0,2,0
0,2013,2,1,29,0,0,1,1
0,2016,0,2,30,1,0,1,0
0,2013,1,2,30,0,0,1,0
1,2017,2,1,29,1,0,2,0
0,2014,1,2,30,1,0,2,1
0,2015,2,1,30,1,0,2,1
0,2014,1,2,30,1,0,1,0
0,2015,1,2,30,0,0,2,0
1,2017,2,1,30,1,0,2,0
0,2012,0,2,30,1,0,2,0
0,2013,0,2,29,0,0,1,1
0,2015,2,2,29,0,0,2,1
1,2016,0,2,29,1,0,1,0
0,2012,0,2,28,1,0,1,1
1,2015,2,1,29,0,0,2,0
0,2012,2,1,28,1,0,2,1
1,2017,2,1,29,0,0,1,0
1,2012,1,0,29,0,0,1,0
1,2017,0,1,26,1,1,4,1
0,2013,0,0,30,1,0,1,0
1,2017,1,2,30,1,1,2,0
2,2013,1,2,27,0,1,5,0
0,2013,1,2,29,0,0,1,0
1,2017,2,2,29,1,0,2,0
0,2016,2,2,28,1,0,2,0
0,2013,0,2,29,1,0,1,0
0,2016,2,2,29,1,0,2,0
1,2016,1,2,26,1,0,4,0
0,2015,0,2,30,0,0,1,1
0,2016,0,2,29,1,0,1,0
1,2014,1,2,29,1,0,1,0
0,2012,0,0,27,0,0,5,0
0,2015,2,0,28,0,0,2,1
0,2018,2,1,28,0,0,2,1
0,2015,2,2,28,0,1,1,1
0,2015,2,2,29,1,0,2,0
0,2016,0,2,30,1,1,1,0
2,2015,1,2,28,1,0,2,1
0,2014,2,2,29,1,0,2,0
0,2015,0,2,29,1,0,1,0
0,2013,2,2,30,1,0,2,0
0,2015,2,1,29,0,0,2,1
1,2017,1,1,27,1,0,5,0
1,2012,1,0,30,0,0,2,1
1,2016,1,2,28,0,0,2,0
0,2014,0,2,29,0,0,2,0
2,2017,0,2,27,1,0,5,0
1,2018,0,2,28,0,0,2,1
0,2017,0,2,28,0,0,1,0
0,2015,0,2,28,1,0,1,0
0,2014,1,2,29,0,0,1,0
1,2017,1,2,29,1,0,1,0
0,2014,2,1,29,1,0,2,1
0,2014,0,2,30,1,0,1,0
1,2016,2,2,29,1,0,2,0
2,2015,0,2,29,1,0,2,0
0,2015,2,2,28,1,1,2,0
0,2014,0,2,29,1,0,1,1
0,2013,0,1,30,0,0,1,1
2,2017,1,2,29,1,0,1,0
0,2013,2,2,30,1,0,1,0
1,2018,1,2,30,0,0,2,1
0,2018,2,2,29,1,1,1,1
0,2016,0,2,30,0,1,2,0
1,2017,2,1,27,1,1,5,1
0,2017,2,1,30,0,0,2,1
2,2015,0,2,29,0,0,1,0
0,2017,2,2,30,1,0,2,0
0,2014,2,0,28,1,0,1,0
0,2015,0,2,30,1,0,1,0
0,2013,1,2,27,1,0,5,0
0,2015,0,2,29,1,0,2,0
0,2017,0,2,30,1,0,2,0
0,2014,0,0,27,0,0,5,0
0,2014,2,0,26,1,0,4,0
0,2012,0,2,29,1,1,2,0
0,2012,1,2,30,1,0,1,0
1,2018,1,2,29,1,0,2,1
1,2016,1,2,27,1,1,5,1
1,2018,0,2,26,1,0,4,1
0,2018,0,2,29,0,1,2,1
0,2016,0,2,28,1,0,1,0
0,2014,0,2,30,0,0,2,0
0,2014,0,2,29,0,0,1,0
0,2012,0,0,30,0,0,2,0
0,2012,0,2,30,0,1,2,0
1,2017,1,1,30,1,0,1,0
1,2014,1,2,29,1,0,2,0
0,2014,2,1,28,0,0,2,1
1,2013,1,2,26,0,0,4,1
0,2017,0,2,29,1,0,1,0
0,2012,2,1,30,0,0,2,1
0,2015,2,1,29,0,1,2,1
1,2014,0,2,28,1,0,1,1
0,2015,0,2,28,0,0,2,0
1,2017,0,0,27,1,0,5,0
1,2017,2,1,30,1,0,1,0
0,2013,2,2,29,1,0,2,0
0,2012,2,2,27,1,1,5,0
0,2015,2,2,30,0,0,1,1
1,2018,2,2,26,1,0,4,1
1,2013,0,1,29,0,0,2,1
0,2014,0,0,28,1,0,2,1
0,2014,0,2,28,0,1,1,0
1,2015,1,2,27,1,0,5,0
0,2013,0,2,27,1,1,5,0
0,2012,1,2,30,1,0,1,1
1,2016,2,2,30,1,0,1,0
0,2014,2,2,30,1,0,1,0
2,2014,0,2,27,1,0,5,0
0,2012,0,2,30,0,0,2,0
0,2013,0,0,28,0,0,1,0
1,2017,2,1,30,0,0,2,1
0,2015,2,1,29,0,0,1,1
1,2017,1,1,30,0,0,1,0
0,2017,2,1,29,1,0,1,0
1,2014,1,0,29,1,0,1,0
0,2014,0,2,30,1,0,2,1
1,2018,1,0,30,0,0,2,0
0,2014,0,0,28,0,0,2,0
0,2016,0,2,30,0,0,1,0
2,2015,2,2,27,1,0,5,0
1,2017,1,1,30,0,1,2,0
2,2013,1,2,30,0,0,2,0
0,2015,0,2,29,1,0,2,1
1,2014,2,2,30,1,0,2,0
1,2017,2,1,30,1,1,2,0
0,2015,2,1,29,0,1,1,1
0,2017,2,1,29,0,0,1,1
0,2014,0,2,29,0,0,1,1
1,2015,2,1,30,0,0,2,1
1,2015,2,1,29,0,0,1,0
1,2015,0,2,26,1,0,4,1
0,2017,0,2,29,0,0,1,0
0,2014,1,2,29,0,0,2,0
1,2017,2,1,28,0,0,2,0
1,2013,1,2,27,0,0,5,1
0,2013,0,2,30,1,0,2,0
0,2015,0,1,27,0,0,5,1
0,2015,0,2,30,1,0,2,1
0,2017,0,2,30,1,0,2,1
0,2016,2,1,30,0,0,2,1
0,2013,2,1,27,1,0,5,1
0,2016,1,2,27,0,0,5,1
0,2016,0,2,29,0,0,1,0
0,2012,2,2,30,1,0,1,0
0,2013,0,2,30,1,1,1,1
0,2015,1,2,29,0,1,1,0
0,2014,2,0,28,1,0,2,0
0,2015,2,2,27,0,0,5,0
0,2016,0,2,30,1,0,1,1
0,2018,1,2,27,0,1,5,1
0,2012,2,0,27,1,0,5,0
2,2017,0,2,28,0,0,1,0
0,2015,2,2,29,0,0,1,1
1,2012,1,2,30,1,0,2,0
0,2018,0,2,30,1,1,1,1
1,2017,1,2,29,0,0,2,0
0,2014,0,0,28,1,0,1,0
2,2012,1,0,29,0,0,2,0
0,2013,0,2,30,0,0,2,1
0,2014,2,2,28,1,0,1,0
1,2013,1,1,26,1,0,4,1
0,2013,2,2,27,0,0,5,0
1,2017,2,1,28,1,0,2,0
0,2014,2,2,28,1,0,4,0
0,2016,0,2,29,0,0,1,1
0,2017,0,2,26,0,0,4,1
0,2015,0,2,30,1,0,0,0
0,2012,0,0,30,0,0,0,0
0,2015,2,2,29,0,0,3,1
1,2014,2,2,30,1,0,0,1
0,2013,2,2,29,1,1,2,0
1,2018,1,2,27,1,1,5,1
0,2012,0,2,30,0,0,0,1
0,2012,0,2,29,0,0,4,0
0,2015,0,2,28,1,1,4,0
0,2016,2,2,29,1,0,5,0
1,2013,0,2,30,1,0,5,1
0,2017,1,2,30,0,1,3,0
1,2014,0,2,30,1,0,4,1
0,2013,2,2,30,1,0,0,0
1,2017,1,1,29,1,0,2,0
0,2014,0,0,27,1,0,5,1
1,2018,1,2,30,0,0,4,1
0,2015,0,2,29,0,0,1,0
0,2014,2,2,26,0,0,4,1
0,2017,0,2,28,1,0,4,0
0,2015,0,2,28,0,0,0,0
1,2013,2,2,27,0,1,5,1
0,2012,2,2,29,1,0,1,0
0,2018,2,2,30,1,1,3,1
0,2016,0,2,29,1,0,5,0
0,2016,0,2,30,1,0,2,1
0,2017,1,1,29,1,0,3,1
0,2013,0,2,30,1,0,5,0
0,2012,0,2,29,1,1,2,1
1,2015,0,2,28,1,0,0,1
0,2017,0,2,30,1,0,1,1
0,2017,0,0,28,0,0,0,1
0,2013,0,2,28,1,0,5,0
1,2013,1,2,30,1,0,2,1
1,2013,1,0,29,0,0,2,1
2,2013,1,2,27,0,0,5,0
0,2015,2,2,29,1,0,1,0
0,2015,2,2,30,0,0,0,1
2,2012,1,2,29,1,0,5,0
2,2014,1,2,28,0,0,0,0
0,2018,0,2,29,1,0,0,1
0,2016,0,2,29,1,0,3,0
0,2018,2,2,30,0,0,2,1
0,2014,2,2,29,1,0,3,0
1,2015,1,2,29,1,0,2,0
0,2016,0,2,30,1,0,0,0
0,2014,2,1,29,0,0,1,1
0,2016,0,2,28,1,1,3,0
0,2016,2,2,28,1,0,5,0
0,2017,2,1,28,0,0,1,1
0,2015,0,2,30,1,0,4,0
1,2012,1,2,27,1,0,5,0
1,2017,1,2,29,0,1,2,0
0,2018,1,2,29,0,0,2,1
0,2014,0,0,26,1,0,4,1
0,2014,1,1,29,0,0,3,1
0,2013,2,2,30,1,0,4,1
0,2015,0,2,30,1,0,3,0
0,2012,0,2,29,1,0,2,1
1,2017,1,1,30,0,0,2,1
0,2015,2,0,30,0,0,0,1
0,2017,2,1,30,0,0,4,1
0,2017,2,1,28,1,0,5,0
0,2012,0,2,27,0,0,5,1
0,2017,2,1,28,0,0,3,1
2,2018,0,2,28,1,0,2,1
0,2015,2,2,28,0,0,3,1
0,2015,0,2,30,0,0,3,1
0,2012,0,2,29,1,0,5,0
0,2014,2,2,29,1,0,1,0
0,2017,2,2,30,1,0,5,0
0,2012,1,2,30,0,1,3,0
0,2013,2,1,30,1,0,1,1
2,2015,1,2,27,0,0,5,0
1,2012,2,2,29,1,0,4,1
0,2014,1,2,29,1,0,4,0
0,2013,1,2,29,0,0,2,0
0,2016,0,1,30,0,0,4,1
0,2017,1,2,29,0,0,0,0
0,2018,0,2,28,1,0,3,1
0,2013,0,1,27,0,0,5,1
1,2017,0,1,30,1,0,3,0
1,2017,1,1,29,1,0,4,0
0,2016,2,2,30,1,0,0,0
0,2015,0,2,29,0,0,0,0
0,2017,0,2,30,1,0,4,0
2,2013,0,2,27,1,0,5,0
1,2017,2,1,29,0,1,2,1
0,2012,1,0,27,0,0,5,1
0,2015,2,0,28,0,0,0,1
0,2017,1,2,29,0,0,3,0
2,2015,2,1,26,0,0,4,0
0,2017,0,2,30,0,0,5,0
1,2013,2,2,26,1,0,4,1
0,2012,2,1,29,0,0,2,1
0,2018,0,2,30,1,1,2,1
0,2018,0,1,28,0,0,3,1
0,2012,0,2,28,1,0,0,1
0,2012,0,2,28,0,1,0,0
0,2018,2,2,29,1,1,3,1
0,2014,1,2,29,1,1,4,0
1,2018,0,2,27,1,1,5,1
0,2017,2,2,29,0,0,0,1
0,2018,0,2,29,1,0,2,1
0,2017,0,0,30,1,0,1,0
0,2017,2,2,30,0,0,1,1
2,2018,1,2,30,1,0,2,1
0,2018,0,2,29,1,1,1,1
0,2013,0,2,30,1,1,0,0
0,2013,2,2,28,1,0,5,0
0,2015,2,1,30,0,0,1,1
1,2012,2,2,27,1,1,5,1
0,2013,0,2,30,1,0,1,0
0,2014,1,2,27,1,0,5,0
1,2013,0,2,30,1,0,1,1
0,2016,0,2,29,1,0,2,1
1,2018,1,2,30,1,0,2,1
1,2014,2,2,27,0,0,5,1
0,2017,2,2,29,1,0,0,0
1,2016,1,2,30,1,0,2,0
1,2017,1,2,30,1,0,3,1
1,2014,1,2,28,0,0,3,0
0,2017,0,0,30,1,0,2,0
0,2013,2,0,30,0,1,1,1
2,2018,1,1,30,0,0,4,1
0,2017,0,2,29,1,0,3,0
1,2017,1,0,30,1,0,2,0
1,2013,0,0,29,0,0,2,1
0,2012,2,2,29,1,0,5,0
0,2015,0,2,29,1,0,4,0
0,2014,0,2,29,1,0,3,1
0,2017,0,2,29,1,0,0,0
0,2015,2,1,29,0,0,4,1
0,2018,0,2,28,1,0,5,1
0,2014,1,2,30,0,0,2,0
0,2012,1,2,29,0,0,5,0
0,2017,2,1,29,0,0,4,1
1,2016,2,2,29,1,0,4,1
0,2013,1,2,30,0,0,3,1
1,2013,1,2,30,1,0,0,1
1,2015,1,2,30,1,0,2,0
0,2012,0,2,29,1,0,4,0
1,2017,2,1,28,1,0,5,0
0,2016,2,1,29,1,0,3,1
0,2018,2,2,28,1,0,5,1
0,2014,2,2,29,0,0,4,1
1,2016,1,2,30,1,0,3,0
0,2017,2,2,30,1,0,0,0
0,2017,1,1,30,1,0,4,0
0,2017,1,1,28,0,0,4,0
2,2016,0,2,30,0,0,5,0
0,2017,1,1,30,1,0,1,1
0,2016,2,1,30,0,0,1,1
1,2014,1,2,28,1,0,0,0
1,2015,2,1,30,0,0,1,0
0,2012,0,2,30,0,0,1,0
1,2018,2,2,29,1,0,2,1
0,2016,1,0,29,0,0,1,0
0,2018,0,2,29,0,0,3,1
1,2016,1,2,29,0,0,1,1
0,2015,2,2,28,1,0,5,0
0,2017,1,1,29,0,0,5,0
0,2013,1,2,28,0,0,1,0
0,2012,1,2,28,0,0,0,0
0,2013,2,1,29,0,0,0,1
0,2013,2,1,28,0,0,4,1
0,2013,0,2,29,0,0,3,0
0,2015,0,2,29,1,0,5,0
0,2017,1,2,30,0,0,3,0
0,2015,2,2,29,1,0,0,0
0,2013,0,2,27,0,1,5,0
0,2017,0,0,29,0,0,5,0
1,2017,0,1,27,1,0,5,1
1,2014,1,2,28,0,0,2,0
0,2012,1,2,27,0,0,5,1
0,2012,0,2,28,1,0,0,0
0,2013,0,1,26,0,0,4,1
0,2012,0,2,28,0,0,3,0
1,2017,1,2,27,1,0,5,0
0,2013,2,1,30,0,0,5,1
0,2016,0,2,30,0,0,3,0
0,2014,0,0,28,0,0,5,0
0,2013,1,1,26,0,0,4,1
0,2016,1,2,29,0,0,0,0
1,2018,1,2,28,0,0,2,1
2,2015,1,1,27,0,0,5,0
1,2013,2,0,30,1,0,1,0
2,2013,1,2,30,1,0,5,0
1,2014,1,2,26,1,1,4,1
0,2015,2,2,35,0,0,0,1
0,2013,2,1,32,0,0,4,1
0,2013,2,0,39,0,0,0,1
0,2018,2,2,32,1,0,1,1
0,2018,2,2,31,1,0,1,1
0,2017,0,2,33,1,0,2,0
1,2017,2,1,37,1,0,2,0
0,2014,2,2,31,1,1,1,0
1,2017,0,2,40,0,0,4,0
0,2017,1,1,32,1,0,0,0
0,2016,0,2,41,1,0,0,0
0,2018,0,2,35,0,1,5,1
0,2014,2,2,34,1,0,3,0
1,2017,0,2,41,0,0,2,1
0,2015,2,2,41,1,0,5,0
0,2016,0,2,37,0,0,0,0
0,2016,0,2,32,1,0,1,0
1,2017,1,2,36,0,0,5,0
0,2014,0,2,36,1,0,3,0
0,2015,0,2,36,1,0,5,0
0,2017,0,2,41,1,1,3,0
0,2013,2,2,37,1,0,0,0
0,2012,0,2,36,1,0,2,0
0,2014,0,2,36,1,0,1,0
0,2018,0,2,32,0,1,2,1
0,2018,0,2,34,1,0,3,1
0,2018,2,2,40,1,1,3,1
1,2017,1,1,31,0,0,0,1
0,2013,1,2,41,0,0,4,0
1,2012,0,1,32,1,0,3,1
0,2013,2,2,40,1,0,5,0
0,2014,0,2,38,0,0,2,1
1,2017,1,1,36,1,0,5,0
0,2013,1,2,33,0,0,1,0
0,2014,0,2,39,1,1,0,0
0,2013,0,2,39,1,0,0,0
0,2017,2,2,32,1,0,5,0
0,2014,0,2,35,0,0,2,1
0,2014,0,2,36,1,0,5,0
0,2018,2,1,39,0,0,0,1
0,2013,0,2,37,0,0,5,0
1,2017,1,1,35,0,0,2,1
0,2017,0,2,36,1,0,5,0
1,2013,1,2,41,1,0,0,0
0,2018,0,2,38,1,0,2,1
0,2015,0,2,34,1,0,5,0
0,2012,0,2,34,1,0,1,0
0,2015,2,2,35,1,1,5,0
0,2012,0,2,39,0,0,2,0
0,2012,0,2,41,1,0,3,0
0,2018,0,2,34,1,1,2,1
1,2017,1,1,35,1,1,2,0
0,2017,1,1,31,0,0,0,0
0,2016,1,2,31,0,0,4,0
0,2013,0,2,32,1,0,5,0
1,2017,1,1,31,1,0,4,1
0,2014,0,2,39,1,0,2,0
0,2014,0,2,40,0,0,4,0
0,2016,0,2,39,1,0,0,1
0,2017,0,2,35,1,1,2,0
0,2017,0,2,32,1,0,1,0
0,2015,2,1,34,0,0,5,1
1,2017,2,2,33,1,0,4,1
0,2015,2,1,36,0,0,0,1
1,2018,0,2,39,1,0,3,1
0,2018,0,2,36,1,0,1,1
0,2017,1,1,39,1,0,2,0
1,2018,1,2,41,1,0,2,1
0,2012,2,2,31,1,0,5,0
0,2015,2,1,36,0,1,0,1
0,2017,0,2,37,1,0,2,1
0,2015,2,1,39,0,0,4,1
0,2012,0,2,35,0,0,1,0
0,2015,0,2,40,0,0,2,0
0,2017,0,2,39,0,0,1,0
0,2012,2,2,40,1,0,2,0
0,2012,0,0,36,1,0,3,0
0,2017,1,1,33,0,0,2,0
1,2014,1,2,33,1,0,2,0
0,2015,2,1,34,0,0,2,1
0,2014,0,2,33,0,0,1,0
0,2014,0,2,32,1,0,4,0
0,2017,1,2,38,1,0,2,0
0,2015,0,2,38,1,0,4,0
0,2015,0,2,32,1,0,2,0
0,2015,2,1,35,0,1,2,1
0,2016,2,2,39,1,0,5,0
0,2014,0,2,40,0,0,0,0
0,2016,0,2,41,1,0,1,0
1,2015,2,1,34,0,0,1,0
0,2016,2,1,37,0,0,5,1
0,2017,1,1,36,1,0,2,0
1,2015,2,0,40,0,0,1,0
0,2017,1,1,36,0,0,5,0
0,2015,0,1,32,0,0,2,1
2,2015,2,2,31,0,0,1,0
0,2012,0,2,31,1,0,4,0
0,2013,1,2,36,0,0,5,0
0,2014,0,2,35,1,0,3,0
1,2013,1,1,33,0,0,2,1
0,2014,0,2,39,1,1,1,0
0,2015,2,2,35,0,0,1,1
0,2013,0,2,38,0,0,4,0
1,2017,0,2,39,0,0,4,1
0,2014,2,1,35,1,0,2,1
0,2016,2,2,31,1,0,1,0
0,2017,1,1,32,0,0,4,1
0,2016,1,2,34,1,0,1,0
0,2014,0,2,34,1,1,3,0
1,2017,0,1,41,1,0,4,0
1,2017,1,1,38,1,0,5,0
0,2015,0,2,38,1,0,3,1
0,2014,0,2,37,1,0,4,0
0,2014,0,0,39,1,0,5,0
1,2017,1,2,33,1,0,5,0
0,2012,0,2,34,1,0,4,0
0,2016,2,1,32,0,0,0,1
0,2012,0,2,33,0,1,0,0
1,2015,1,2,37,1,0,2,1
0,2013,1,2,37,1,0,2,0
0,2016,0,2,36,0,0,5,1
0,2014,0,2,36,1,0,4,0
0,2014,0,2,36,0,0,1,1
1,2017,1,2,31,1,0,1,1
1,2017,1,2,38,1,0,2,0
0,2012,2,2,39,1,0,2,0
0,2014,0,0,37,1,0,5,0
0,2015,2,1,36,0,0,1,1
0,2013,0,2,35,1,0,2,1
0,2013,2,2,40,0,0,5,1
0,2017,0,2,35,0,0,3,0
0,2012,0,2,41,0,0,5,0
0,2015,0,2,32,1,0,4,0
0,2013,0,2,41,1,0,2,0
0,2016,1,2,40,0,0,1,1
0,2017,2,2,40,1,0,3,0
0,2017,0,2,34,1,0,3,1
1,2017,1,1,36,1,1,2,0
0,2014,2,2,41,1,0,2,0
0,2014,0,2,40,0,0,3,0
0,2016,0,2,31,1,0,1,1
1,2015,0,2,32,0,0,2,1
0,2017,2,2,34,0,0,1,1
0,2016,1,2,32,1,0,4,0
0,2014,0,2,38,1,0,2,0
0,2015,1,2,40,1,0,2,0
0,2017,1,0,38,0,0,1,1
0,2017,2,2,37,1,0,0,0
2,2014,0,2,31,1,0,1,0
1,2017,1,1,34,0,0,2,1
0,2013,2,1,37,0,0,0,1
1,2017,1,1,31,1,0,1,0
0,2017,0,2,35,1,0,5,0
2,2015,1,2,34,0,0,4,0
0,2012,0,0,32,1,0,1,1
0,2017,2,2,31,1,1,0,0
0,2015,0,2,36,0,0,5,0
1,2017,1,2,38,0,0,2,0
0,2015,2,2,34,1,0,4,0
0,2013,0,0,39,0,0,1,1
1,2015,2,1,33,1,0,4,1
1,2014,0,2,35,0,0,2,1
1,2015,1,2,40,1,0,2,0
0,2013,0,2,38,1,0,1,0
0,2012,0,2,32,0,0,1,1
0,2012,0,2,35,1,0,1,0
0,2013,1,2,37,0,0,0,0
1,2017,2,1,37,0,0,1,0
1,2017,2,1,39,1,0,4,0
0,2018,2,2,41,1,1,0,1
1,2017,2,1,39,0,0,2,0
0,2012,0,2,38,0,0,5,0
0,2013,0,2,33,1,0,3,0
0,2014,0,2,36,0,0,3,0
2,2012,1,2,40,0,0,5,0
0,2013,0,2,31,0,0,4,1
0,2015,0,2,39,1,1,2,0
1,2014,2,1,33,0,0,5,0
1,2012,1,2,38,1,0,2,0
0,2016,0,2,36,0,0,0,0
0,2014,2,1,36,0,0,2,1
0,2015,0,0,35,1,0,5,0
0,2017,2,1,34,0,0,5,1
0,2015,2,1,41,0,0,3,1
0,2016,2,2,32,0,0,3,1
0,2017,2,1,39,1,0,3,0
0,2014,0,2,34,1,0,3,1
0,2012,0,2,39,0,0,5,0
0,2017,2,2,36,1,0,1,0
0,2014,0,2,35,1,0,1,0
1,2018,0,2,31,1,0,2,1
0,2012,0,2,41,0,0,4,0
0,2017,0,2,35,0,0,4,0
0,2018,0,2,33,0,0,4,1
2,2018,0,2,36,0,0,3,1
0,2012,0,2,40,1,0,0,0
0,2017,1,1,36,1,0,0,0
1,2015,1,2,38,0,0,0,0
0,2016,2,2,40,1,0,4,0
1,2017,1,1,35,0,0,2,0
0,2012,0,2,38,0,0,3,0
0,2012,2,2,31,0,0,5,0
1,2016,1,2,33,0,0,1,0
0,2013,2,1,32,0,0,1,1
0,2017,0,0,39,1,0,0,0
0,2018,1,2,35,0,0,2,1
0,2014,1,2,38,0,0,5,0
0,2015,0,2,32,1,0,0,0
0,2017,0,2,34,0,0,2,0
0,2017,0,2,41,1,0,1,0
0,2012,2,1,32,1,0,1,1
0,2013,0,2,35,1,0,0,0
0,2013,0,2,40,0,0,4,0
0,2018,2,1,35,0,0,2,1
1,2017,1,1,37,0,0,4,0
0,2012,2,2,36,1,0,1,0
0,2015,1,2,37,1,0,4,0
0,2017,1,1,39,0,0,0,0
0,2013,1,2,37,0,0,1,0
0,2012,1,1,33,0,0,0,1
2,2014,0,2,38,0,0,3,0
0,2012,0,2,41,1,0,5,0
0,2013,0,1,38,0,0,1,1
0,2014,0,2,39,1,0,5,1
0,2018,0,2,35,1,0,1,1
1,2017,1,2,39,0,0,5,1
0,2015,2,1,31,0,0,1,1
0,2012,2,2,33,1,0,2,0
0,2017,2,2,33,1,0,2,0
0,2013,2,2,32,1,0,2,0
0,2016,0,2,34,1,1,2,0
0,2012,0,2,38,1,0,2,0
1,2017,1,1,31,0,0,2,1
0,2017,0,2,35,0,0,5,0
0,2012,2,2,33,1,0,1,0
1,2018,1,2,40,0,0,2,1
0,2014,0,2,38,1,0,0,0
0,2012,0,2,31,1,1,5,0
2,2014,0,2,39,1,0,1,0
0,2015,0,2,39,0,0,3,1
0,2012,0,2,39,1,0,0,0
0,2013,0,2,35,1,0,5,0
1,2017,0,2,34,0,0,4,0
0,2014,0,2,41,1,0,4,0
0,2013,0,2,40,1,0,1,0
1,2017,2,2,31,1,0,3,1
0,2016,0,2,41,1,0,1,1
0,2017,0,2,32,1,0,5,0
0,2014,2,1,39,0,0,5,1
0,2014,0,2,31,1,0,1,0
0,2012,0,2,40,1,0,3,0
1,2018,1,2,34,1,0,2,1
0,2015,0,1,39,0,0,0,1
0,2014,2,2,37,1,0,1,0
1,2017,1,2,32,1,0,2,0
0,2014,1,2,37,1,0,3,0
0,2017,0,2,36,0,0,3,0
0,2015,2,1,40,0,0,2,1
0,2014,0,2,40,1,0,0,0
0,2012,2,2,32,1,0,3,0
0,2012,0,2,37,1,0,3,1
0,2017,0,2,34,0,1,0,0
0,2012,0,2,37,1,0,3,0
0,2017,0,2,35,1,0,3,0
0,2012,1,2,35,0,0,2,0
0,2014,0,2,31,1,0,0,1
1,2017,1,2,37,0,0,3,0
0,2018,2,2,40,1,0,0,1
0,2018,0,0,36,1,1,1,0
2,2018,1,2,37,0,0,2,1
0,2018,2,2,37,1,0,5,1
0,2016,2,2,38,1,0,0,0
0,2013,0,0,40,1,0,2,0
0,2015,0,2,31,1,0,1,0
1,2017,2,1,36,1,0,2,0
0,2014,2,2,34,0,0,2,1
0,2013,0,2,41,1,1,2,1
0,2015,2,1,32,0,0,3,1
0,2015,2,2,34,1,0,5,0
1,2013,1,1,32,1,0,2,1
0,2012,0,2,31,0,0,3,0
2,2016,1,2,40,1,0,1,0
0,2015,0,2,37,0,0,0,0
1,2017,1,2,40,0,0,0,0
0,2013,0,2,31,1,0,1,0
0,2017,0,2,32,1,0,2,0
1,2013,2,1,41,1,0,2,1
1,2015,1,2,37,1,0,2,0
0,2015,0,2,40,0,0,1,0
1,2017,2,1,35,1,0,2,0
0,2012,0,2,39,1,0,3,0
